               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,            0.019755,           0.0082783,            0.023349,             0.51256,                   1,             0.89083,             0.75569,           0.0090718,           0.0033046,            0.017214,            0.002476,            0.002476,            0.002476
                  78,            0.016859,           0.0078631,            0.019392,             0.49901,                   1,              0.8943,             0.74213,           0.0098091,           0.0033051,            0.017204,            0.002377,            0.002377,            0.002377
                  79,            0.015071,           0.0070808,            0.020242,             0.51508,                   1,             0.86246,             0.77776,           0.0081213,           0.0031253,            0.017214,            0.002278,            0.002278,            0.002278
                  80,            0.013267,            0.006516,            0.019721,             0.51262,                   1,             0.85125,              0.7831,           0.0061456,           0.0030835,            0.017226,            0.002179,            0.002179,            0.002179
                  81,            0.017588,           0.0086306,            0.022686,             0.49995,                   1,             0.87938,             0.77986,           0.0085858,           0.0031919,            0.017206,             0.00208,             0.00208,             0.00208
                  82,            0.016111,            0.008303,             0.02144,             0.51292,                   1,             0.85522,              0.7393,           0.0086395,           0.0031498,            0.017216,            0.001981,            0.001981,            0.001981
                  83,            0.014851,           0.0076138,            0.019704,             0.49846,                   1,             0.83619,             0.73891,           0.0072494,           0.0031492,            0.017212,            0.001882,            0.001882,            0.001882
                  84,            0.013922,           0.0074923,            0.020341,             0.49861,                   1,             0.83903,             0.76637,           0.0066708,           0.0030813,            0.017202,            0.001783,            0.001783,            0.001783
                  85,            0.013139,           0.0083774,            0.020073,             0.49911,                   1,             0.86194,             0.78326,           0.0073326,           0.0030901,            0.017179,            0.001684,            0.001684,            0.001684
                  86,            0.016469,            0.007813,            0.021089,             0.49854,                   1,             0.84767,             0.75784,           0.0089167,           0.0030801,            0.017179,            0.001585,            0.001585,            0.001585
                  87,            0.011142,           0.0072769,            0.019379,             0.49876,                   1,             0.84169,             0.77306,           0.0066199,           0.0030179,            0.017161,            0.001486,            0.001486,            0.001486
                  88,            0.014069,           0.0069608,             0.02128,             0.49892,                   1,             0.82883,             0.76906,           0.0063328,           0.0030303,            0.017151,            0.001387,            0.001387,            0.001387
                  89,            0.015419,           0.0079993,            0.022181,             0.49983,                   1,             0.84047,              0.7553,           0.0069732,           0.0031476,            0.017118,            0.001288,            0.001288,            0.001288
                  90,            0.015129,           0.0076427,            0.020938,             0.49954,                   1,             0.81979,             0.75744,           0.0063499,           0.0030249,            0.017116,            0.001189,            0.001189,            0.001189
                  91,            0.014266,           0.0073115,            0.022271,             0.49899,                   1,             0.85171,             0.79322,           0.0056717,           0.0029856,            0.017118,             0.00109,             0.00109,             0.00109
                  92,            0.011865,           0.0069117,            0.020124,             0.49912,                   1,             0.84167,             0.77712,           0.0055756,           0.0029683,            0.017131,            0.000991,            0.000991,            0.000991
                  93,            0.013088,           0.0077286,            0.020526,             0.49912,                   1,             0.85484,               0.801,           0.0054147,           0.0029742,            0.017124,            0.000892,            0.000892,            0.000892
                  94,            0.011072,           0.0064333,            0.019331,             0.49906,                   1,             0.85356,             0.79407,           0.0062207,           0.0029618,            0.017128,            0.000793,            0.000793,            0.000793
                  95,            0.013313,           0.0076771,            0.021048,             0.49936,                   1,             0.82588,             0.77048,           0.0062559,           0.0029561,            0.017139,            0.000694,            0.000694,            0.000694
                  96,            0.013041,           0.0070867,            0.020713,             0.49925,                   1,             0.85307,             0.79823,           0.0059739,           0.0029378,            0.017137,            0.000595,            0.000595,            0.000595
                  97,            0.013226,           0.0074792,            0.021355,             0.49931,                   1,             0.85319,             0.80708,           0.0054248,           0.0029394,            0.017133,            0.000496,            0.000496,            0.000496
                  98,            0.014318,           0.0072119,            0.020805,             0.49923,                   1,             0.84154,             0.78846,            0.005764,           0.0029286,            0.017133,            0.000397,            0.000397,            0.000397
                  99,            0.013828,           0.0073226,            0.020766,             0.49927,                   1,             0.85581,             0.79677,           0.0056364,           0.0029263,            0.017135,            0.000298,            0.000298,            0.000298
